Supermarket,Product_ID,Price
WELLCOME,P000000190,10.5
JASONS,P000000190,10.5
WELLCOME,P000002937,24.9
JASONS,P000002937,24.9
WELLCOME,P000000038,10
JASONS,P000000038,10
WELLCOME,P000003270,10
JASONS,P000003270,10
WELLCOME,P000000643,10
JASONS,P000000643,10
WELLCOME,P000000135,40.5
PARKNSHOP,P000000135,38.3
JASONS,P000000135,44.9
WELLCOME,P000001370,40.5
PARKNSHOP,P000001370,49.9
JASONS,P000001370,33.8
WELLCOME,P000001587,15.9
JASONS,P000001587,15.9
WELLCOME,P000000192,15.9
JASONS,P000000192,15.9
WELLCOME,P000000229,11.5
PARKNSHOP,P000000229,12.5
JASONS,P000000229,12.6
WELLCOME,P000000033,11.5
PARKNSHOP,P000000033,12.5
JASONS,P000000033,11.5
PARKNSHOP,P000001392,18.8
WELLCOME,P000000193,17
PARKNSHOP,P000000193,16.5
JASONS,P000000193,18.4
WELLCOME,P000000836,17
JASONS,P000000836,17
WELLCOME,P000000811,11.9
PARKNSHOP,P000000811,13.9
JASONS,P000000811,13.9
WELLCOME,P000000642,13.5
PARKNSHOP,P000000642,14.5
JASONS,P000000642,13.5
PARKNSHOP,P000001338,14.5
WELLCOME,P000000034,15.5
PARKNSHOP,P000000034,16.5
JASONS,P000000034,15.5
WELLCOME,P000003844,11.5
JASONS,P000003844,9.9
WELLCOME,P000003845,11.5
JASONS,P000003845,11.5
WELLCOME,P000003700,13.5
JASONS,P000003700,13.5
WELLCOME,P000000810,8.5
PARKNSHOP,P000000810,9.9
JASONS,P000000810,8.5
PARKNSHOP,P000001537,9.9
WELLCOME,P000001539,14.9
JASONS,P000001539,14.9
PARKNSHOP,P000003482,18
JASONS,P000003482,11
WELLCOME,P000000989,14.5
JASONS,P000000989,17.5
PARKNSHOP,P000000035,11.1
PARKNSHOP,P000001533,24.5
WELLCOME,P000001538,18.8
PARKNSHOP,P000001538,20
JASONS,P000001538,14.3
PARKNSHOP,P000000860,18.5
AEON,P000000860,19.6
WELLCOME,P000001231,18
PARKNSHOP,P000001231,18.5
JASONS,P000001231,14.7
AEON,P000001231,15.7
WELLCOME,P000004190,7.5
JASONS,P000004190,7.5
WELLCOME,P000003850,21.9
JASONS,P000003850,24.8
WELLCOME,P000000808,29.9
PARKNSHOP,P000000808,29.9
JASONS,P000000808,29.9
AEON,P000000808,23.5
WELLCOME,P000000076,33.4
PARKNSHOP,P000000076,29.9
JASONS,P000000076,29.9
WELLCOME,P000004066,21.9
JASONS,P000004066,21.9
WELLCOME,P000000077,29.9
PARKNSHOP,P000000077,33.4
JASONS,P000000077,29.9
AEON,P000000077,26.2
WELLCOME,P000000657,34.1
PARKNSHOP,P000000657,29.9
JASONS,P000000657,29.9
WELLCOME,P000003846,21.9
JASONS,P000003846,21.9
WELLCOME,P000002564,29.9
PARKNSHOP,P000002564,26.2
JASONS,P000002564,29.9
WELLCOME,P000002709,8
PARKNSHOP,P000002709,7.4
JASONS,P000002709,9
WELLCOME,P000000807,19.7
PARKNSHOP,P000000807,22
JASONS,P000000807,22
AEON,P000000807,17.2
WELLCOME,P000000835,21.5
PARKNSHOP,P000000835,23
JASONS,P000000835,21.5
AEON,P000000835,20.9
WELLCOME,P000001655,39
JASONS,P000001655,39
AEON,P000001655,38.9
WELLCOME,P000000863,30
JASONS,P000000863,30
WELLCOME,P000001619,46
PARKNSHOP,P000001619,35.6
JASONS,P000001619,46
AEON,P000001619,45.9
WELLCOME,P000000809,25.8
PARKNSHOP,P000000809,22.5
JASONS,P000000809,22.5
WELLCOME,P000000812,22.5
PARKNSHOP,P000000812,25
JASONS,P000000812,22.5
WELLCOME,P000003491,36.5
PARKNSHOP,P000003491,41.1
JASONS,P000003491,36.5
WELLCOME,P000000834,22.5
PARKNSHOP,P000000834,22.5
JASONS,P000000834,25.5
WELLCOME,P000003314,36.5
JASONS,P000003314,36.5
WELLCOME,P000000927,42.4
PARKNSHOP,P000000927,31.8
JASONS,P000000927,39.9
PARKNSHOP,P000001362,63
PARKNSHOP,P000001467,63
PARKNSHOP,P000003058,29.4
WELLCOME,P000003681,24.9
JASONS,P000003681,24.9
WELLCOME,P000003682,24.9
JASONS,P000003682,24.9
WELLCOME,P000004177,26
JASONS,P000004177,23.3
WELLCOME,P000004178,26
JASONS,P000004178,26
WELLCOME,P000001399,42
PARKNSHOP,P000001399,41.9
JASONS,P000001399,42
WELLCOME,P000003853,27.9
JASONS,P000003853,27.9
WELLCOME,P000003680,27.9
JASONS,P000003680,27.9
WELLCOME,P000003855,27.9
JASONS,P000003855,27.9
WELLCOME,P000002397,36
PARKNSHOP,P000002397,36
JASONS,P000002397,36
WELLCOME,P000001301,40.2
PARKNSHOP,P000001301,28
JASONS,P000001301,36
WELLCOME,P000001302,36
PARKNSHOP,P000001302,36
JASONS,P000001302,36
AEON,P000001302,36
PARKNSHOP,P000003523,30.9
WELLCOME,P000000212,13.6
PARKNSHOP,P000000212,12.9
JASONS,P000000212,10.3
WELLCOME,P000002796,44
PARKNSHOP,P000002796,49.9
JASONS,P000002796,44
WELLCOME,P000004179,24.9
JASONS,P000004179,24.9
WELLCOME,P000002152,133
JASONS,P000002152,133
WELLCOME,P000001379,133
JASONS,P000001379,133
WELLCOME,P000003156,133
JASONS,P000003156,133
AEON,P000003156,125
PARKNSHOP,P000001959,89
PARKNSHOP,P000001383,59.9
PARKNSHOP,P000002545,89.9
WELLCOME,P000001960,22.1
JASONS,P000001960,26
PARKNSHOP,P000001956,86.1
PARKNSHOP,P000002142,75
PARKNSHOP,P000001972,98
WELLCOME,P000001511,103
PARKNSHOP,P000001511,103
JASONS,P000001511,103
WELLCOME,P000001374,68
PARKNSHOP,P000001374,60.1
JASONS,P000001374,68
WELLCOME,P000001513,76
